,Engaged views
Engaged views,1.0
Watch Time Efficiency,0.9955645147737971
Likes,0.9760515095580433
Views,0.9655432771001956
Watch time (hours),0.8901423779014475
Subscribers,0.7736148615322979
Comments added,0.653164716255028
Impressions,0.38400248966955774
Engaged Views per Impression,0.37614686674786063
Views per Impression,0.3396122662623955
Impressions click-through rate (%),0.24344321633374877
Engaged Views Ratio,0.23994459475728733
Completion Rate,0.18888476543343224
Average percentage viewed (%),0.18888476543343113
Stayed to watch (%),0.1759067741912252
Retention Efficiency,0.07167543634983493
Growth Potential,0.062411349050706846
Virality Score,0.018647744345088
Likes to Views Ratio,0.007710931548797254
Engagement Rate,0.007690140571514933
Subscribers Gained per 1000 Views,-0.03686963813757921
Watch Time per View (seconds),-0.0547275577225811
Comments to Likes Ratio,-0.0634199113433964
Duration,-0.07375232708744298
Average view duration (seconds),-0.07682321419720486
Comments to Views Ratio,-0.09924882843630514
Swipe Away Ratio,-0.17590677419122627
