,count,mean,std,min,25%,50%,75%,max,skewness
Engaged views,5825.0,183224.85716738197,420857.68903269566,0.0,2005.0,28309.0,161065.0,7420692.0,5.590441550541719
Comments added,5825.0,93.88188841201716,300.5107850416992,0.0,1.0,21.0,84.0,11334.0,16.264672136033678
Likes,5825.0,17318.60600858369,38957.10465873042,-1440.0,72.0,2069.0,15188.0,540812.0,4.780119830446321
Watch time (hours),5825.0,4886.256231416309,11438.111690584843,0.0,53.4194,791.1141,4277.9852,185359.6244,5.500185254320162
Subscribers,5825.0,88.90660944206009,309.7015304773337,-1.0,1.0,12.0,55.0,7180.0,11.054356399485998
Stayed to watch (%),5159.0,77.75648187633263,12.51299930389613,0.0,74.80000000000001,80.93,84.45,100.0,-1.9872903924492658
Average percentage viewed (%),5300.0,78.26452452830188,15.452511259583488,1.93,72.02,80.59,87.6225,352.31,1.8113624815677052
Engagement Rate,5793.0,,,-inf,4.864864864864865,8.282740676496097,10.303030303030303,inf,
Virality Score,5793.0,,,-inf,2.8901329601119663,4.953338119167265,6.164460039322828,inf,
Growth Potential,5300.0,3.842145102213217,7.545962593482027,-153.3530722505418,1.2924878318020503,2.6946612099890084,4.8932407049855,163.26530612244898,-1.1309701234269598
